A_air,DELAY,GCD,HeadingDegree,Dep_Hub,Arr_Hub,Weekday,Spring,Summer,Fall,Winter,Dep_congestion,Arr_congestion
170,8,1223.650541,-21,1,1,1,0,0,0,1,0.739130435,0.882352941
41,21,218.192866,-4,0,0,0,1,0,0,0,1.368421053,0.25
109,21,841.089583,7,0,1,1,0,0,1,0,0.909090909,0.666666667
57,10,357.179769,-4,0,0,1,0,0,0,1,1,0.666666667
79,11,540.032558,-4,0,1,1,0,0,1,0,0.461538462,0.393939394
64,32,388.846635,3,1,0,1,0,1,0,0,0.413793103,0.5
157,8,1187.021901,-3,0,1,1,1,0,0,0,0.6,1.105263158
138,4,829.627338,-16,0,1,0,0,0,1,0,1,0.75862069
81,1,476.750766,-6,0,1,1,0,0,1,0,0.8,0.777777778
266,29,1735.290792,-33,0,1,1,0,0,1,0,1.076923077,0.571428571
288,9,2148.155518,-38,1,0,1,0,0,0,1,1.1,0.15
50,35,299.155133,2,0,1,1,0,1,0,0,1.333333333,1
103,6,690.933963,0,0,0,0,0,0,0,1,0.384615385,0.416666667
142,9,1100.535857,10,0,1,1,0,1,0,0,1.090909091,0.111111111
129,-3,1035.775052,9,0,0,1,0,0,0,1,0.411764706,0.714285714
42,19,268.566588,-3,0,1,1,0,0,0,1,0.333333333,0.625
258,19,2322.760467,38,0,0,1,0,0,0,1,1.125,0.307692308
66,15,369.14826,6,0,1,1,0,0,1,0,0.1875,0.625
90,8,649.434123,12,1,0,1,0,0,1,0,1,0.2
278,14,2336.059246,41,0,1,1,0,1,0,0,1.166666667,0.444444444
92,19,732.129795,11,0,1,1,0,0,1,0,0.4,0.666666667
159,6,1100.535857,-10,0,0,1,0,0,0,1,0.666666667,0.75
79,10,609.300452,8,1,1,1,1,0,0,0,0.8,0.266666667
217,14,1550.496589,-29,0,0,0,1,0,0,0,1,0.366666667
122,1,841.089583,7,0,0,1,0,0,0,1,0.875,0.470588235
212,6,1497.473965,-28,0,1,1,0,0,0,1,0.666666667,0.333333333
156,11,1093.062754,-6,0,0,1,0,0,0,1,0.6,0.615384615
72,10,421.962871,-7,0,1,1,0,0,0,1,0.666666667,0.777777778
287,4,2572.388959,48,1,1,0,0,0,1,0,0.2,0.1
49,14,299.410217,-5,1,0,1,1,0,0,0,0.933333333,1
161,13,1348.678041,24,0,1,1,0,1,0,0,0.24137931,0.894736842
106,10,760.200443,13,1,0,0,0,1,0,0,0.173913043,0.129032258
34,41,141.657021,2,0,0,1,1,0,0,0,0.1875,0.285714286
129,3,841.089583,-7,0,0,0,1,0,0,0,0.461538462,0.090909091
65,13,421.962871,-7,1,0,0,0,1,0,0,0.833333333,0.166666667
112,17,856.955197,4,1,0,1,1,0,0,0,0.96,0.307692308
86,23,637.097868,-11,1,1,0,1,0,0,0,0.142857143,0.352941176
54,22,351.782544,-4,0,1,1,0,1,0,0,0.894736842,0.909090909
112,7,963.066921,15,0,0,1,0,0,1,0,0.083333333,0.111111111
202,18,1735.290792,33,1,0,1,1,0,0,0,0.458333333,0.833333333
278,10,2465.61664,44,0,0,1,0,1,0,0,0.764705882,0.9
48,9,218.192866,4,0,1,1,0,0,1,0,0.714285714,0.45
189,11,1189.249182,-20,0,0,1,0,0,0,1,0.555555556,0.533333333
84,6,629.364927,-11,0,1,1,0,1,0,0,0.105263158,0.384615385
229,23,1645.838101,-31,0,1,1,1,0,0,0,0.9,0.4
180,27,1617.638329,28,0,1,0,0,0,1,0,0.8,0.580645161
140,38,960.346396,-6,1,1,1,0,1,0,0,0.142857143,0.75
172,44,1223.650541,-21,1,1,1,0,0,0,1,0.869565217,0.647058824
123,3,946.311628,8,0,0,1,0,0,1,0,0.157894737,1.111111111
255,18,2148.155518,38,1,0,1,1,0,0,0,0.6,1.181818182
220,14,1545.824818,-28,1,0,1,0,0,0,1,0.655172414,0.466666667
125,17,832.59334,10,0,1,1,0,1,0,0,0.173913043,0.285714286
65,40,420.795085,-6,0,0,1,0,1,0,0,0.714285714,0.260869565
59,16,357.179769,4,0,1,1,0,0,0,1,0.583333333,0.8125
83,14,562.735694,7,1,0,1,0,0,1,0,0.68,0
321,36,2616.005634,-47,0,0,1,0,1,0,0,0.545454545,0.8125
136,16,1010.233246,-5,1,0,1,1,0,0,0,1,0.733333333
133,42,1060.507119,20,1,0,1,1,0,0,0,0.5,1.111111111
117,56,861.040268,-9,1,1,1,1,0,0,0,0.5,0.433333333
71,17,515.997077,7,0,0,1,0,0,0,1,1.083333333,1.222222222
190,20,1445.171858,-24,0,1,1,0,0,1,0,1.111111111,0.681818182
60,21,388.846635,3,1,0,1,1,0,0,0,0.655172414,0.5
146,6,1116.876239,22,0,0,1,1,0,0,0,0.363636364,0.555555556
87,18,707.170628,11,0,1,1,0,0,0,1,0.35,0.818181818
44,12,267.533473,4,1,0,1,0,1,0,0,0.888888889,0.411764706
60,13,369.14826,-6,1,0,1,0,0,1,0,0.875,0.611111111
150,52,1176.501968,-7,0,1,0,0,0,1,0,0.916666667,0.535714286
99,43,778.17093,-11,0,1,1,0,1,0,0,0.9,0.515151515
61,19,394.782984,7,1,0,0,0,1,0,0,0.538461538,0.666666667
201,25,1769.842435,31,0,1,1,0,0,1,0,0.583333333,0.787878788
126,14,989.849845,-4,0,0,1,0,0,1,0,1.235294118,0.818181818
296,14,2565.527733,42,1,0,1,0,0,1,0,0.818181818,0.384615385
133,16,901.207502,-9,1,0,0,1,0,0,0,0.518518519,0.1875
89,22,562.735694,7,1,0,1,0,0,1,0,0.75862069,0.0625
111,42,778.17093,-11,1,1,1,0,0,1,0,1.111111111,0.925925926
130,22,834.423578,6,0,1,0,0,1,0,0,0.333333333,0.583333333
116,12,571.590207,-10,0,1,1,0,0,0,1,1.222222222,0.964285714
86,22,624.238161,-1,1,1,1,1,0,0,0,0.08,0.818181818
177,14,1445.171858,-24,0,0,0,0,1,0,0,0.9,0.571428571
266,35,2416.374329,43,1,1,1,0,0,1,0,0.875,0.636363636
105,9,597.939419,-11,1,1,1,0,0,1,0,1.111111111,0.333333333
176,48,1258.858834,-24,0,0,1,0,0,1,0,0.44,0.769230769
59,13,357.179769,-4,1,0,0,0,0,0,1,0.647058824,0.75
210,20,1456.257438,-27,0,0,1,0,1,0,0,0.25,0.533333333
41,33,173.11296,2,1,0,1,0,0,0,1,0.846153846,0.666666667
35,22,141.657021,2,0,0,1,0,1,0,0,0.0625,0.357142857
151,11,1047.995729,7,0,0,1,1,0,0,0,0.461538462,0.636363636
45,13,173.11296,-2,0,0,1,0,0,1,0,0.666666667,0.5
128,18,1042.699516,17,1,0,1,0,1,0,0,0.266666667,0.541666667
65,22,295.111722,-4,0,0,1,0,0,1,0,0.846153846,0.75
152,9,1100.535857,-10,1,0,0,1,0,0,0,0.466666667,0.666666667
265,12,2201.081715,39,0,1,1,1,0,0,0,0.933333333,0.583333333
83,21,609.300452,8,1,1,1,1,0,0,0,0.533333333,0.333333333
92,8,707.170628,11,0,1,1,0,0,1,0,0.45,0.333333333
108,31,737.983952,14,1,0,1,1,0,0,0,1.125,1
72,11,420.795085,-6,0,1,1,0,1,0,0,0.090909091,0.666666667
35,17,255.35434,4,0,0,1,0,1,0,0,1.142857143,0.555555556
297,11,2624.268993,49,0,1,0,0,0,1,0,0.076923077,0.5
197,42,1479.580121,-25,1,1,1,0,0,1,0,0.64,0.526315789
88,13,629.385447,10,1,0,1,1,0,0,0,0.923076923,0.263157895
213,10,1886.742458,35,1,1,1,0,0,1,0,0.666666667,0.448275862
183,10,1497.473965,28,1,0,0,1,0,0,0,0.357142857,0.333333333
123,17,920.195546,-7,1,0,0,1,0,0,0,1,0.285714286
181,8,1324.427392,-22,1,1,1,0,0,1,0,0,0.583333333
68,22,334.522146,-5,0,0,1,0,0,0,1,0.272727273,1
97,31,603.134032,-4,0,1,0,0,0,0,1,0.533333333,0.592592593
248,9,1769.842435,-31,1,0,1,0,0,0,1,0.413793103,1
65,0,347.632429,6,0,0,1,0,0,0,1,0.1875,0
55,22,369.14826,6,0,1,0,0,0,0,1,0.5,0.620689655
51,16,357.179769,-4,1,0,1,0,1,0,0,0.764705882,0.714285714
85,6,637.097868,11,0,0,0,0,0,1,0,0.583333333,0.166666667
124,19,908.840734,-17,1,1,1,0,0,0,1,0.88,0.133333333
116,21,908.840734,17,1,1,0,0,1,0,0,0.275862069,0.714285714
287,23,2203.538884,-38,1,0,1,0,0,0,1,0.777777778,0.4
36,51,173.11296,2,0,0,0,0,0,1,0,1,0.5
73,6,487.219009,-1,1,0,1,1,0,0,0,0.705882353,0.375
43,9,299.155133,-2,1,0,1,0,0,0,1,0.583333333,0.666666667
119,13,875.322395,13,0,0,0,1,0,0,0,0.833333333,0.4
87,9,603.134032,-4,0,1,1,0,1,0,0,0,0.392857143
199,27,1698.110688,24,0,0,0,1,0,0,0,0.041666667,0.222222222
216,20,1932.088676,39,0,1,1,0,0,1,0,0.6,0.315789474
142,7,989.849845,4,0,1,0,0,0,1,0,0.6,0.6875
50,34,299.410217,5,0,1,1,1,0,0,0,0,0.722222222
96,28,804.58072,13,1,0,1,0,0,0,1,0.555555556,0.176470588
274,6,2282.194243,42,0,0,1,0,0,1,0,0.25,0.75
70,15,486.821961,1,1,0,1,1,0,0,0,0.8,0.133333333
129,16,999.833697,17,1,1,1,0,1,0,0,0.32,0.842105263
176,18,1176.501968,-7,0,0,1,1,0,0,0,0.533333333,0.678571429
132,14,964.817638,-15,0,1,1,0,1,0,0,0.25,0.722222222
122,37,908.840734,-17,1,1,1,0,1,0,0,0.76,0.533333333
125,5,685.849277,-13,0,1,1,1,0,0,0,0.7,0.517241379
311,9,2443.223163,-45,1,1,1,0,0,1,0,0.333333333,1.1
152,26,1176.501968,7,1,0,1,0,1,0,0,0.344827586,0.777777778
146,25,1011.381516,-19,0,1,1,1,0,0,0,0.4,1.071428571
124,3,847.40384,-3,0,0,0,0,0,0,1,0.375,0.384615385
149,12,1069.546709,-5,0,0,1,0,0,0,1,0.666666667,0.454545455
59,10,299.155133,2,0,0,1,0,0,1,0,0.5,0.733333333
121,20,915.2794,3,0,0,0,1,0,0,0,0.666666667,0.375
173,12,1514.308416,22,1,0,0,0,0,0,1,0.236842105,0.058823529
58,8,255.35434,-4,0,0,1,1,0,0,0,1,0.666666667
59,8,369.14826,6,0,1,1,1,0,0,0,0.086956522,0.714285714
223,23,2002.47774,32,1,0,1,0,0,1,0,0.466666667,0.846153846
64,23,379.434596,-7,1,0,1,0,0,0,1,0.413793103,0.733333333
80,34,576.897383,3,1,1,0,1,0,0,0,0.625,0.212121212
371,18,2616.005634,-47,0,1,1,1,0,0,0,0.545454545,0.941176471
124,29,847.40384,-3,0,0,1,0,0,1,0,0.375,0.357142857
225,18,1983.662839,34,0,1,0,0,0,0,1,0.714285714,0.9
85,10,488.956401,-9,0,1,1,0,1,0,0,1.2,0.933333333
98,12,732.129795,11,0,1,1,1,0,0,0,0.727272727,0.4
82,16,637.097868,11,0,1,1,0,0,0,1,0.8,0.5
111,20,876.071914,-15,1,1,0,0,1,0,0,0.818181818,0.421052632
138,22,941.642563,-15,0,1,0,0,0,1,0,0.230769231,1
63,8,420.795085,6,0,0,0,0,0,0,1,0.666666667,0.181818182
84,19,629.364927,11,0,0,0,0,1,0,0,0.363636364,0.176470588
36,5,174.215841,-3,1,0,0,0,0,1,0,0.727272727,0.444444444
134,12,946.311628,-8,0,0,1,0,1,0,0,1.1,0.409090909
51,0,173.11296,-2,0,0,1,0,0,1,0,0.461538462,0.583333333
240,10,1961.40438,-34,1,1,1,0,1,0,0,1,0.823529412
332,27,2465.61664,-44,1,1,1,0,0,0,1,0.6,0.882352941
124,18,973.826853,2,1,0,1,0,0,1,0,0.5,0.3125
119,6,943.813088,13,1,0,1,1,0,0,0,0.344827586,0.818181818
71,30,390.388606,5,1,1,1,0,1,0,0,0.666666667,0.4
63,40,369.14826,6,0,1,1,0,0,0,1,0.045454545,0.375
196,27,1769.842435,31,0,0,1,1,0,0,0,0.416666667,0.212121212
283,47,2414.578371,48,0,0,1,0,1,0,0,0.7,0.6
46,12,299.155133,-2,1,0,1,0,1,0,0,0.666666667,0.666666667
144,20,1011.381516,-19,0,1,1,0,1,0,0,1.2,0.8125
147,17,1100.535857,-10,0,0,0,0,1,0,0,0.333333333,0.833333333
156,37,1138.052053,-17,0,1,0,0,0,0,1,0.6,0.583333333
85,9,637.097868,-11,0,0,1,1,0,0,0,0.535714286,0.666666667
44,23,218.192866,-4,0,1,1,1,0,0,0,0.2,0.75
67,10,428.586941,2,0,1,0,0,0,1,0,0.055555556,0.888888889
244,11,1986.855783,35,1,0,1,1,0,0,0,0.933333333,0.5
89,38,651.284339,9,0,1,1,0,0,0,1,0.888888889,1
296,26,2286.555132,-37,0,0,1,0,0,0,1,0.266666667,0.833333333
49,12,265.912564,3,1,0,1,0,0,0,1,0.4,0.555555556
70,16,523.493625,10,1,1,1,0,0,1,0,0.227272727,0.157894737
38,44,173.11296,2,0,0,1,0,0,1,0,1,0.75
128,8,929.090586,-13,0,1,0,0,1,0,0,0.736842105,0.785714286
81,13,540.032558,4,1,0,1,0,0,0,1,0.62962963,0.571428571
98,17,737.983952,14,1,0,1,1,0,0,0,0.6,0.75
299,17,2307.990415,-41,0,1,1,1,0,0,0,0.5,0.263157895
41,6,173.11296,-2,0,1,0,0,1,0,0,0.583333333,1
143,18,956.196441,-14,0,1,1,0,1,0,0,0.090909091,0.5625
116,16,778.17093,-11,0,1,1,0,0,0,1,1.1,0.121212121
86,13,523.493625,-10,1,1,0,0,1,0,0,0.055555556,0.714285714
59,10,295.111722,4,1,0,1,1,0,0,0,0.769230769,0.636363636
166,12,1183.116994,-16,0,0,0,0,0,0,1,0.208333333,0.294117647
43,4,267.533473,4,0,1,1,0,0,1,0,0.074074074,0.388888889
70,47,421.962871,-7,0,0,1,1,0,0,0,1,0.823529412
122,37,929.090586,13,1,0,1,0,1,0,0,0.4375,0.222222222
216,13,1855.22985,35,1,0,1,1,0,0,0,0.052631579,0.666666667
93,11,760.200443,13,0,1,0,1,0,0,0,0.913043478,0.303030303
222,16,1961.40438,34,1,1,0,1,0,0,0,0.277777778,0.515151515
296,26,2201.081715,-39,1,1,1,0,0,1,0,0.7,0.736842105
150,56,1112.807978,7,0,0,1,0,1,0,0,0.307692308,1.25
57,9,388.846635,3,1,0,1,0,1,0,0,0.133333333,0.357142857
39,37,267.533473,4,0,1,1,0,0,0,1,0.766666667,0.842105263
105,7,778.17093,11,1,0,1,0,0,1,0,0.965517241,0.7
218,31,1932.088676,39,0,1,1,0,1,0,0,0.818181818,0.666666667
65,10,265.912564,-3,0,1,1,0,0,0,1,0.777777778,0.761904762
91,6,540.032558,4,0,0,1,0,0,0,1,0.296296296,0.384615385
124,40,901.207502,-9,1,1,1,0,0,1,0,0.733333333,1.117647059
133,22,989.849845,-4,1,0,0,0,1,0,0,0.5,0.454545455
143,7,962.415733,-18,1,1,1,0,0,0,1,0.5,0.133333333
160,31,1324.755315,11,1,0,0,0,1,0,0,0.608695652,0.235294118
151,9,1112.807978,7,0,1,0,0,0,1,0,0.533333333,0.75
285,9,2518.463271,45,0,0,1,0,1,0,0,0.6875,0.5
127,48,901.207502,9,1,1,1,0,1,0,0,0.375,0.242424242
161,26,1283.600843,22,0,1,1,0,0,1,0,0.833333333,0.777777778
99,6,728.559362,-4,0,0,0,0,0,1,0,0.888888889,0.095238095
139,12,1027.212361,6,0,0,1,0,0,1,0,0.461538462,0.5
238,32,1769.842435,-31,1,0,0,0,0,0,1,0.259259259,0.411764706
126,25,956.196441,14,0,1,0,0,1,0,0,0.272727273,1.173913043
133,19,1060.507119,20,1,0,1,0,1,0,0,0.045454545,1.2
167,11,1189.249182,-20,1,1,1,1,0,0,0,0.296296296,0.1
227,24,2000.812063,35,1,1,1,0,0,0,1,0.764705882,0.7
53,8,299.410217,-5,1,0,0,1,0,0,0,0.466666667,0.5
173,2,1106.14354,-17,0,1,1,0,0,0,1,0.363636364,0.821428571
62,24,394.782984,7,0,1,1,0,0,1,0,0.923076923,0.545454545
139,16,1100.535857,10,0,1,1,0,1,0,0,0.9,0.368421053
199,37,1617.638329,-28,1,0,1,0,1,0,0,0.888888889,0.210526316
185,40,1545.824818,28,1,1,1,0,1,0,0,0.916666667,0.75
147,32,1060.507119,-20,0,1,1,1,0,0,0,0.9,1.125
62,8,369.14826,6,1,0,1,1,0,0,0,0.391304348,1.125
114,9,778.17093,-11,1,1,1,0,0,1,0,0.444444444,0.777777778
118,18,970.34905,-15,0,1,1,0,1,0,0,1,0.583333333
53,14,357.179769,-4,1,0,1,0,0,1,0,0.888888889,0.571428571
112,15,908.840734,17,1,1,1,0,0,1,0,0.379310345,0.655172414
73,15,565.253694,2,0,1,1,0,1,0,0,0.0625,0.375
194,18,1541.888517,-25,1,1,1,0,1,0,0,0.4375,0.941176471
57,36,357.179769,-4,1,0,1,0,0,1,0,0.277777778,0.888888889
89,18,623.223317,-7,1,0,1,0,0,1,0,1.090909091,0.413793103
284,16,2203.538884,-38,1,0,1,0,1,0,0,0.555555556,0.5
197,17,1411.273186,21,1,1,1,1,0,0,0,0.3,0.7
89,53,609.300452,-8,1,0,1,0,0,1,0,0.724137931,1.2
262,16,2309.121858,42,0,1,1,0,0,1,0,0.7,0.35
61,18,394.782984,7,1,0,0,1,0,0,0,0.7,0.727272727
216,17,1786.762313,31,1,1,1,0,1,0,0,0.9375,0.896551724
57,25,347.632429,-6,0,1,1,0,0,0,1,0.4,0.647058824
59,37,357.179769,4,0,1,1,1,0,0,0,1,0.875
132,23,908.840734,-17,1,1,1,0,0,1,0,0.428571429,0.233333333
45,10,299.155133,-2,0,0,1,0,1,0,0,0.75,0.166666667
139,9,1258.858834,24,0,0,1,0,0,1,0,1.090909091,0.275862069
83,12,603.134032,4,1,0,0,0,0,1,0,0.444444444,0.388888889
50,20,255.35434,-4,0,0,0,0,1,0,0,0.7,0.25
67,8,394.782984,-7,0,0,1,0,1,0,0,0.416666667,0.538461538
167,13,1445.171858,24,1,0,1,0,0,0,1,0.260869565,0.3
178,31,1258.745502,-20,1,0,0,0,0,0,1,0.8,0.285714286
215,35,1886.742458,35,1,1,0,1,0,0,0,0.8,0.142857143
57,20,347.632429,-6,0,0,1,0,0,1,0,0.2,1.0625
100,12,871.381354,15,1,0,1,1,0,0,0,0.931034483,0.090909091
144,54,988.067443,-18,1,0,1,0,0,0,1,0.517241379,0.875
115,24,737.983952,-14,0,0,1,0,0,0,1,0.875,0.857142857
87,0,637.097868,-11,0,0,1,0,0,0,1,0.5,0.588235294
65,25,394.782984,-7,0,0,1,1,0,0,0,0.615384615,0.857142857
56,13,357.179769,4,1,1,1,0,0,1,0,0.769230769,0.588235294
351,19,2443.223163,-45,0,0,1,1,0,0,0,0.444444444,0.888888889
148,7,1047.995729,-7,0,0,1,0,0,1,0,0.8,0.142857143
164,17,1258.745502,-20,1,0,1,0,1,0,0,0.944444444,0.615384615
116,14,834.423578,-6,1,0,0,0,1,0,0,0.916666667,0.238095238
218,25,1886.742458,35,1,1,1,0,0,0,1,0.3,0.482758621
77,19,515.997077,7,1,0,1,0,0,1,0,1.470588235,0.222222222
140,53,1042.699516,-17,1,0,1,0,1,0,0,1.1,0.736842105
136,11,1047.995729,7,0,0,0,0,0,0,1,0.461538462,0.444444444
133,10,989.849845,-4,1,0,0,1,0,0,0,0.8125,0.416666667
